,801,804,806,812,815,820,828,830,832,834,837,840,842,845,905,910,921,924,935,938,941,956,961,966,967
01/12/2019,25,25,25,25,25,25,25,1,1,1,1,25,25,25,25,1,25,25,25,25,25,25,25,25,25
02/12/2019,25,25,25,25,25,25,25,1,1,1,1,25,25,25,25,1,25,25,25,25,25,25,25,25,25
03/12/2019,25,25,25,25,25,25,25,1,1,1,1,25,25,25,25,1,25,25,25,25,25,25,25,25,25
04/12/2019,25,25,25,25,25,25,25,1,1,1,1,25,25,25,25,1,25,25,25,25,25,25,25,25,25
05/12/2019,25,25,25,25,25,25,25,1,1,1,1,25,25,25,25,1,25,25,25,25,25,25,25,25,25
06/12/2019,25,25,25,25,25,25,25,1,1,1,1,25,25,25,25,1,25,25,25,25,25,25,25,25,25
07/12/2019,25,25,25,25,25,25,25,1,1,1,1,1,25,25,25,1,25,25,25,25,25,25,25,25,25
08/12/2019,25,25,25,25,25,25,25,1,1,1,1,1,25,25,25,25,25,25,25,25,25,25,25,25,25
09/12/2019,25,25,25,25,25,25,25,1,1,1,1,1,25,25,25,25,25,25,25,25,25,25,25,25,25
10/12/2019,25,25,25,25,25,25,25,1,1,1,1,1,25,25,25,25,25,25,25,25,25,25,25,25,25
11/12/2019,25,25,25,25,25,25,25,1,1,1,1,1,25,25,25,25,25,25,25,25,25,25,25,1,25
12/12/2019,25,25,25,25,25,25,25,25,1,1,1,1,25,25,25,25,25,25,25,25,25,25,25,1,25
13/12/2019,25,25,25,25,25,25,25,25,1,1,1,1,25,25,25,25,25,25,25,25,25,25,25,1,25
14/12/2019,25,25,25,25,25,25,25,25,1,1,1,1,25,25,25,25,25,25,25,25,25,25,25,1,25
15/12/2019,25,25,25,25,25,25,25,25,1,1,1,1,25,25,1,25,25,25,25,25,25,25,25,1,25
16/12/2019,25,25,25,25,25,25,25,25,1,1,1,1,25,25,25,25,25,25,25,25,25,25,25,1,25
17/12/2019,25,25,25,25,25,25,25,25,1,1,1,1,25,25,25,25,25,25,25,25,25,25,25,1,25
18/12/2019,25,25,25,25,25,25,25,25,1,1,1,1,25,25,25,25,25,25,25,25,25,25,25,1,25
19/12/2019,25,25,25,25,25,25,25,25,1,1,1,1,25,25,25,25,25,25,25,25,25,25,25,1,25
20/12/2019,25,25,25,25,25,25,25,25,1,1,1,1,25,25,25,25,25,25,25,25,25,25,25,1,25
21/12/2019,25,25,25,25,25,25,25,25,1,1,1,1,25,25,25,25,25,25,25,25,25,25,25,1,25
22/12/2019,25,25,25,25,25,25,25,25,1,1,1,1,25,25,25,25,25,25,25,25,25,25,25,1,25
23/12/2019,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
24/12/2019,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25/12/2019,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
26/12/2019,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
27/12/2019,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
28/12/2019,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
29/12/2019,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
30/12/2019,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
31/12/2019,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
01/01/2020,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
02/01/2020,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
03/01/2020,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
04/01/2020,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
05/01/2020,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
06/01/2020,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
07/01/2020,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
08/01/2020,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
09/01/2020,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
10/01/2020,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
11/01/2020,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
12/01/2020,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
13/01/2020,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
14/01/2020,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
15/01/2020,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
16/01/2020,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
17/01/2020,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
