Tail Number,System,Sub-System,Registration Time,Closing Time,Validated?,Register Profession,Closer Profession
837,16,W,30/07/2020 14:00,30/07/2020 14:01,TRUE,Class A Electricity Tech,Class A Electricity Tech
815,14,H,31/07/2020 10:34,31/07/2020 10:37,TRUE,Class A Electricity Tech,Class A Electricity Tech
815,49,E,31/07/2020 10:35,31/07/2020 12:39,TRUE,Class A Electricity Tech,Class A Tech
910,44,A,31/07/2020 15:11,31/07/2020 15:12,TRUE,Class A Electricity Tech,Class A Electricity Tech
801,75,A,02/08/2020 9:15,06/08/2020 13:34,TRUE,Class A Armament Tech,Class A Armament Tech
837,11,G,02/08/2020 10:20,04/08/2020 14:58,TRUE,Class A Tech,Class A Heli Struct Sys Tech
837,11,G,02/08/2020 10:20,04/08/2020 14:56,TRUE,Class A Tech,Class A Heli Struct Sys Tech
801,74,G,02/08/2020 12:03,02/08/2020 12:04,TRUE,Class B Avionics Tech,Class B Avionics Tech
924,71,H,02/08/2020 12:27,02/08/2020 13:28,TRUE,Class B Avionics Tech,Class B Avionics Tech
806,26,B,02/08/2020 14:31,02/08/2020 21:12,TRUE,Pilot,Class A Class A Electricity Tech
806,62,E,02/08/2020 14:31,02/08/2020 20:11,TRUE,Pilot,Class B Avionics Tech
806,44,A,02/08/2020 14:31,02/08/2020 15:30,TRUE,Pilot,Class A Heli Struct Sys Tech
938,11,E,02/08/2020 14:42,02/08/2020 14:43,TRUE,Class B Structurer Tech,Class B Structurer Tech
966,44,A,02/08/2020 14:58,02/08/2020 15:00,TRUE,Class A Electricity Tech,Class A Electricity Tech
966,44,C,02/08/2020 14:59,02/08/2020 15:19,TRUE,Class A Electricity Tech,Class A Electricity Tech
812,71,E,02/08/2020 15:16,02/08/2020 20:00,TRUE,Pilot,Class B Avionics Tech
845,62,S,02/08/2020 15:36,03/08/2020 0:16,TRUE,Pilot,Class B Avionics Tech
845,14,G,02/08/2020 15:36,02/08/2020 22:53,TRUE,Pilot,Class A Class A Electricity Tech
820,22,U,02/08/2020 16:02,02/08/2020 19:12,FALSE,Pilot,Class B Engine Tech
832,75,A,02/08/2020 16:31,02/08/2020 20:22,FALSE,Pilot,Class A Armament Tech
834,76,E,02/08/2020 16:36,03/08/2020 0:23,TRUE,Pilot,Class B Avionics Tech
834,74,5,02/08/2020 16:36,03/08/2020 17:33,FALSE,Pilot,Class B Avionics Tech
834,90,A,02/08/2020 16:36,03/08/2020 9:29,FALSE,Pilot,Class B Flight Control Tech
834,75,K,02/08/2020 16:36,03/08/2020 10:12,TRUE,Pilot,Class A Armament Tech
834,90,A,02/08/2020 16:36,03/08/2020 9:28,FALSE,Pilot,Class B Flight Control Tech
834,62,T,02/08/2020 16:36,03/08/2020 18:25,TRUE,Pilot,Class A Officer
834,90,A,02/08/2020 16:36,03/08/2020 8:09,TRUE,Pilot,Class A Class A Electricity Tech
834,90,A,02/08/2020 22:23,02/08/2020 22:29,TRUE,Class B Flight Control Tech,Class B Flight Control Tech
910,71,G,03/08/2020 10:09,03/08/2020 12:14,TRUE,Class B Avionics Tech,Class B Avionics Tech
815,15,A,03/08/2020 10:45,04/08/2020 16:33,TRUE,Class B Mechanic,Class B Mechanic
832,69,1,03/08/2020 11:59,03/08/2020 12:00,TRUE,Class A Armament Tech,Class A Armament Tech
834,90,W,03/08/2020 12:16,03/08/2020 12:17,TRUE,Class B Flight Control Tech,Class B Flight Control Tech
938,26,F,03/08/2020 12:51,03/08/2020 17:10,TRUE,Pilot,Class A Heli Struct Sys Tech
820,51,A,03/08/2020 13:04,03/08/2020 13:06,TRUE,Class A Electricity Tech,Class A Electricity Tech
845,51,A,03/08/2020 14:28,03/08/2020 14:30,TRUE,Class A Electricity Tech,Class A Electricity Tech
938,46,J,03/08/2020 16:47,03/08/2020 17:19,TRUE,Class A Electricity Tech,Class A Electricity Tech
924,90,A,03/08/2020 17:21,03/08/2020 22:03,FALSE,Pilot,Class B Flight Control Tech
924,12,B,03/08/2020 17:21,03/08/2020 21:18,TRUE,Pilot,Class B Avionics Tech
806,14,A,03/08/2020 18:11,04/08/2020 11:28,FALSE,Pilot,Class B Flight Control Tech
815,74,1,03/08/2020 19:07,03/08/2020 19:08,TRUE,Class B Avionics Tech,Class B Avionics Tech
832,63,A,03/08/2020 20:50,03/08/2020 20:51,TRUE,Class B Avionics Tech,Class B Avionics Tech
834,75,F,03/08/2020 20:59,04/08/2020 15:21,TRUE,Pilot,Class A Tech
967,26,B,03/08/2020 21:36,03/08/2020 22:12,TRUE,Class A Heli Struct Sys Tech,Class A Tech
842,90,A,03/08/2020 23:46,04/08/2020 11:31,TRUE,Pilot,Class A Class A Electricity Tech
938,90,A,03/08/2020 23:46,04/08/2020 11:53,TRUE,Pilot,Class A Class A Electricity Tech
842,65,A,03/08/2020 23:46,04/08/2020 14:51,TRUE,Pilot,Class B Avionics Tech
842,16,A,03/08/2020 23:46,04/08/2020 16:03,TRUE,Pilot,Class A Heli Struct Sys Tech
966,63,A,04/08/2020 0:11,04/08/2020 12:10,TRUE,Pilot,Class B Avionics Tech
966,74,P,04/08/2020 0:11,04/08/2020 12:30,FALSE,Pilot,Class B Avionics Tech
820,71,E,04/08/2020 9:51,04/08/2020 14:56,TRUE,Pilot,Class B Avionics Tech
834,62,T,04/08/2020 10:19,04/08/2020 10:20,FALSE,Class B Avionics Tech,Class B Avionics Tech
938,90,A,04/08/2020 11:54,04/08/2020 12:33,FALSE,Class A Electricity Tech,Class B Flight Control Tech
832,11,E,04/08/2020 11:55,04/08/2020 12:00,TRUE,Class A Heli Struct Sys Tech,Class B Structurer Tech
966,11,E,04/08/2020 12:04,04/08/2020 12:11,TRUE,Class A Heli Struct Sys Tech,Class A Tech
924,16,A,04/08/2020 12:08,04/08/2020 12:13,FALSE,Class B Flight Control Tech,Class B Flight Control Tech
820,12,C,04/08/2020 14:24,05/08/2020 16:02,TRUE,Class A Armament Tech,Class A Heli Struct Sys Tech
842,46,F,04/08/2020 14:30,04/08/2020 14:31,TRUE,Class A Tech,Class A Tech
834,11,E,04/08/2020 15:33,04/08/2020 17:30,TRUE,Class A Heli Struct Sys Tech,Class B Structurer Tech
845,75,H,04/08/2020 15:58,06/08/2020 17:26,TRUE,Class A Armament Tech,Class A Tech
834,11,W,04/08/2020 16:18,04/08/2020 22:09,TRUE,Class A Electricity Tech,Class B Avionics Tech
834,11,W,04/08/2020 18:34,04/08/2020 22:10,TRUE,Class A Electricity Tech,Class B Avionics Tech
834,26,A,05/08/2020 8:38,12/08/2020 15:33,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
966,12,A,05/08/2020 11:20,05/08/2020 14:37,TRUE,Pilot,Class A Tech
966,90,A,05/08/2020 11:20,05/08/2020 16:20,TRUE,Pilot,Class B Flight Control Tech
966,71,E,05/08/2020 11:20,05/08/2020 16:33,FALSE,Pilot,Class B Avionics Tech
966,74,I,05/08/2020 11:20,06/08/2020 22:42,TRUE,Pilot,Class B Avionics Tech
834,62,E,05/08/2020 11:55,12/08/2020 21:27,TRUE,Class B Avionics Tech,Class B Avionics Tech
967,12,A,05/08/2020 13:16,05/08/2020 14:14,TRUE,Pilot,Class A Heli Struct Sys Tech
967,51,A,05/08/2020 13:16,05/08/2020 14:04,TRUE,Pilot,Class A Officer
806,14,A,05/08/2020 14:47,09/08/2020 20:08,TRUE,Pilot,Class B Flight Control Tech
820,11,G,05/08/2020 15:28,05/08/2020 15:29,TRUE,Class B Structurer Tech,Class B Structurer Tech
815,16,A,05/08/2020 19:11,05/08/2020 22:56,TRUE,Pilot,Class A Officer
815,44,C,05/08/2020 19:11,05/08/2020 21:56,TRUE,Pilot,Class A Class A Electricity Tech
938,0,0,05/08/2020 19:36,12/08/2020 13:30,FALSE,Pilot,Class A Officer
938,12,C,05/08/2020 19:36,11/08/2020 9:54,TRUE,Pilot,Class A Heli Struct Sys Tech
905,74,1,05/08/2020 20:01,06/08/2020 15:02,TRUE,Pilot,Class B Avionics Tech
910,74,D,05/08/2020 21:01,06/08/2020 12:27,TRUE,Pilot,Class B Avionics Tech
812,71,G,05/08/2020 21:21,05/08/2020 21:22,TRUE,Class B Avionics Tech,Class B Avionics Tech
924,74,4,05/08/2020 21:36,06/08/2020 22:47,TRUE,Pilot,Class B Avionics Tech
924,76,D,05/08/2020 21:36,06/08/2020 1:44,TRUE,Pilot,Class B Avionics Tech
924,75,G,05/08/2020 21:36,06/08/2020 14:03,TRUE,Pilot,Class A Armament Tech
924,47,F,05/08/2020 21:36,06/08/2020 10:25,TRUE,Pilot,Class A Class A Electricity Tech
967,16,A,05/08/2020 21:48,05/08/2020 22:22,TRUE,Pilot,Class A Heli Struct Sys Tech
815,44,C,06/08/2020 9:21,06/08/2020 9:22,TRUE,Class A Electricity Tech,Class A Electricity Tech
938,11,C,06/08/2020 9:40,06/08/2020 14:52,TRUE,Class A Tech,Class B Structurer Tech
842,71,H,06/08/2020 10:20,06/08/2020 15:53,TRUE,Class A Electricity Tech,Class B Avionics Tech
967,90,A,06/08/2020 12:39,06/08/2020 12:43,TRUE,Class B Flight Control Tech,Class B Flight Control Tech
845,24,A,06/08/2020 12:40,09/08/2020 11:19,TRUE,Class A Electricity Tech,Class A Electricity Tech
967,63,A,06/08/2020 12:41,06/08/2020 12:42,TRUE,Class B Avionics Tech,Class B Avionics Tech
828,11,C,06/08/2020 14:12,06/08/2020 14:16,TRUE,Class A Tech,Class A Tech
834,11,E,06/08/2020 14:14,06/08/2020 14:36,TRUE,Class B Structurer Tech,Class B Structurer Tech
842,11,G,06/08/2020 14:16,06/08/2020 14:34,TRUE,Class B Structurer Tech,Class B Structurer Tech
967,15,A,06/08/2020 14:21,08/08/2020 22:30,FALSE,Pilot,Class A Heli Struct Sys Tech
801,11,E,06/08/2020 14:50,06/08/2020 14:55,TRUE,Class B Structurer Tech,Class B Structurer Tech
842,11,E,06/08/2020 15:20,09/08/2020 11:33,TRUE,Class A Heli Struct Sys Tech,Class A Tech
842,44,B,06/08/2020 15:27,06/08/2020 15:28,TRUE,Class A Electricity Tech,Class A Electricity Tech
842,11,W,06/08/2020 15:31,06/08/2020 15:32,TRUE,Class A Electricity Tech,Class A Electricity Tech
842,11,E,07/08/2020 12:23,10/08/2020 12:11,TRUE,Class A Heli Struct Sys Tech,Class A Tech
967,74,E,09/08/2020 10:11,09/08/2020 14:54,TRUE,Pilot,Class B Avionics Tech
935,11,E,09/08/2020 10:17,09/08/2020 12:10,TRUE,Class B Avionics Tech,Class B Structurer Tech
801,11,E,09/08/2020 10:59,09/08/2020 11:54,TRUE,Class B Structurer Tech,Class B Structurer Tech
938,90,A,09/08/2020 11:08,10/08/2020 14:12,TRUE,Class A Electricity Tech,Class B Flight Control Tech
828,15,A,09/08/2020 11:17,09/08/2020 14:29,TRUE,Pilot,Class A Heli Struct Sys Tech
935,51,A,09/08/2020 11:54,09/08/2020 15:27,TRUE,Class A Electricity Tech,Class A Electricity Tech
806,14,K,09/08/2020 15:39,09/08/2020 16:17,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
941,75,C,10/08/2020 10:40,10/08/2020 14:18,TRUE,Class A Tech,Class B Structurer Tech
941,11,M,10/08/2020 10:46,10/08/2020 14:15,TRUE,Class A Tech,Class B Structurer Tech
845,75,G,10/08/2020 13:35,10/08/2020 15:59,TRUE,Class A Armament Tech,Class A Tech
941,11,J,10/08/2020 15:19,11/08/2020 16:26,TRUE,Class A Tech,Class A Tech
967,12,A,10/08/2020 17:21,11/08/2020 10:12,TRUE,Pilot,Class A Heli Struct Sys Tech
967,12,A,10/08/2020 17:21,11/08/2020 11:00,TRUE,Pilot,Class A Armament Tech
837,0,0,11/08/2020 10:26,17/09/2020 15:39,TRUE,Class A Armament Tech,Class A Heli Struct Sys Tech
812,11,G,11/08/2020 11:49,11/08/2020 11:57,TRUE,Class A Heli Struct Sys Tech,Class B Structurer Tech
938,11,G,11/08/2020 12:02,11/08/2020 14:36,TRUE,Class A Heli Struct Sys Tech,Class B Structurer Tech
924,11,E,11/08/2020 14:33,11/08/2020 15:09,TRUE,Class B Structurer Tech,Class B Structurer Tech
806,26,A,11/08/2020 14:40,12/08/2020 10:53,TRUE,Class A Tech,Class A Tech
845,15,A,11/08/2020 14:56,11/08/2020 14:58,TRUE,Class A Tech,Class A Tech
812,42,D,11/08/2020 15:00,11/08/2020 17:01,TRUE,Class A Electricity Tech,Class A Officer
806,13,D,11/08/2020 16:05,11/08/2020 16:31,TRUE,Class A Tech,Class A Tech
812,74,2,11/08/2020 17:01,11/08/2020 17:03,TRUE,Class B Avionics Tech,Class B Avionics Tech
806,74,D,11/08/2020 17:21,11/08/2020 17:58,TRUE,Class A Electricity Tech,Class B Avionics Tech
806,24,1,11/08/2020 17:24,12/08/2020 9:24,TRUE,Class A Electricity Tech,Class A Electricity Tech
941,69,E,12/08/2020 2:26,12/08/2020 16:51,FALSE,Pilot,Class A Officer
941,74,P,12/08/2020 2:26,12/08/2020 17:36,TRUE,Pilot,Class A Officer
820,74,P,12/08/2020 2:31,12/08/2020 3:00,TRUE,Pilot,Class A Officer
845,22,P,12/08/2020 10:43,12/08/2020 13:59,TRUE,Pilot,Class A Class A Electricity Tech
845,44,B,12/08/2020 10:43,12/08/2020 14:14,TRUE,Pilot,Class A Class A Electricity Tech
845,46,E,12/08/2020 10:43,12/08/2020 14:06,TRUE,Pilot,Class A Class A Electricity Tech
966,74,5,12/08/2020 11:15,13/08/2020 16:47,TRUE,Pilot,Class A Officer
966,74,I,12/08/2020 11:15,16/08/2020 18:12,TRUE,Pilot,Class B Avionics Tech
834,26,W,12/08/2020 14:00,12/08/2020 14:54,TRUE,Class A Electricity Tech,Class A Electricity Tech
842,90,A,12/08/2020 15:16,12/08/2020 16:07,TRUE,Pilot,Class A Officer
842,75,G,12/08/2020 15:16,12/08/2020 16:06,TRUE,Pilot,Class A Officer
961,24,1,12/08/2020 16:20,02/12/2020 14:20,TRUE,Class A Electricity Tech,Class A Heli Struct Sys Tech
801,71,H,12/08/2020 17:25,12/08/2020 23:26,TRUE,Pilot,Class B Avionics Tech
938,0,0,12/08/2020 19:01,15/08/2020 21:12,TRUE,Pilot,Class A Officer
935,75,J,12/08/2020 19:11,12/08/2020 20:35,TRUE,Pilot,Class A Officer
845,46,A,12/08/2020 19:14,13/08/2020 18:04,FALSE,Pilot,Class B Engine Tech
967,51,A,12/08/2020 19:16,13/08/2020 12:49,TRUE,Class A Electricity Tech,Class A Electricity Tech
910,46,J,12/08/2020 19:23,12/08/2020 19:24,TRUE,Class A Electricity Tech,Class A Electricity Tech
842,47,F,12/08/2020 20:02,20/08/2020 0:38,TRUE,Pilot,Class A Heli Struct Sys Tech
820,14,H,12/08/2020 20:39,17/08/2020 13:44,TRUE,Pilot,Class B Flight Control Tech
828,74,G,12/08/2020 21:16,12/08/2020 21:49,TRUE,Pilot,Class A Officer
828,90,A,12/08/2020 21:16,12/08/2020 21:50,TRUE,Pilot,Class A Officer
812,11,G,12/08/2020 22:16,12/08/2020 22:17,TRUE,Class B Structurer Tech,Class B Structurer Tech
905,74,E,12/08/2020 22:24,12/08/2020 22:25,TRUE,Class B Avionics Tech,Class B Avionics Tech
832,75,J,12/08/2020 22:56,16/08/2020 16:19,TRUE,Pilot,Class A Armament Tech
832,90,A,12/08/2020 22:56,13/08/2020 11:12,TRUE,Pilot,Class A Class A Electricity Tech
